price,installment,location,bedroom_count,bathroom_count,carport_count,land_area,building_area
1100000000.0,4000000.0,"Astanaanyar, Bandung",2,1,0,110.0,90.0
2500000000.0,9000000.0,"Astanaanyar, Bandung",4,3,0,212.0,238.0
875000000.0,3000000.0,"Astanaanyar, Bandung",3,1,1,122.0,110.0
5200000000.0,19000000.0,"Astanaanyar, Bandung",23,5,3,520.0,1060.0
7000000000.0,26000000.0,"Astanaanyar, Bandung",6,6,9,504.0,700.0
4200000000.0,15000000.0,"Astanaanyar, Bandung",4,3,4,217.0,200.0
3500000000.0,13000000.0,"Astanaanyar, Bandung",3,2,0,311.0,264.0
1550000000.0,5000000.0,"Astanaanyar, Bandung",5,5,1,114.0,200.0
985000000.0,3000000.0,"Astanaanyar, Bandung",2,2,1,101.0,160.0
2000000000.0,7000000.0,"Astanaanyar, Bandung",3,2,0,210.0,200.0
3950000000.0,14000000.0,"Astanaanyar, Bandung",4,3,1,306.0,400.0
625000000.0,2000000.0,"Astanaanyar, Bandung",1,1,0,44.0,88.0
5500000000.0,20000000.0,"Astanaanyar, Bandung",43,12,3,474.0,1000.0
4500000000.0,16000000.0,"Astanaanyar, Bandung",6,2,0,310.0,250.0
550000000.0,2000000.0,"Astanaanyar, Bandung",3,2,0,55.0,105.0
1550000000.0,5000000.0,"Astanaanyar, Bandung",3,1,0,75.0,150.0
3850000000.0,14000000.0,"Astanaanyar, Bandung",4,4,2,297.0,297.0
650000000.0,2000000.0,"Astanaanyar, Bandung",2,1,0,107.0,99.0
1450000000.0,5000000.0,"Astanaanyar, Bandung",2,2,1,101.0,160.0
2350000000.0,8000000.0,"Astanaanyar, Bandung",3,3,1,160.0,280.0
3700000000.0,13000000.0,"Astanaanyar, Bandung",5,2,2,311.0,265.0
4000000000.0,14000000.0,"Astanaanyar, Bandung",5,4,2,297.0,500.0
2500000000.0,9000000.0,"Astanaanyar, Bandung",4,4,1,122.0,220.0
3950000000.0,14000000.0,"Astanaanyar, Bandung",2,2,1,178.0,300.0
850000000.0,3000000.0,"Astanaanyar, Bandung",5,1,0,103.0,80.0
